time,total RR,RR,beat
0.676,676,676,Z
1.352,1352,676,Q
2.484,2484,1132,Q
3.588,3588,1104,Q
4.712,4712,1124,Q
5.836,5836,1124,Q
6.972,6972,1136,Q
8.116,8116,1144,Q
9.236,9236,1120,Q
10.344,10344,1108,Q
11.436,11436,1092,Q
12.528,12528,1092,Q
13.64,13640,1112,Q
14.744,14744,1104,Q
15.836,15836,1092,Q
16.94,16940,1104,Q
18.024,18024,1084,Q
19.144,19144,1120,Q
20.22,20220,1076,Q
21.304,21304,1084,Q
22.328,22328,1024,Q
23.348,23348,1020,Q
24.464,24464,1116,Q
25.564,25564,1100,Q
26.684,26684,1120,Q
27.792,27792,1108,Q
28.9,28900,1108,Q
29.992,29992,1092,Q
31.084,31084,1092,Q
32.14,32140,1056,Q
33.24,33240,1100,Q
34.296,34296,1056,Q
35.356,35356,1060,Q
36.416,36416,1060,Q
37.5,37500,1084,Q
38.588,38588,1088,Q
39.688,39688,1100,Q
40.78,40780,1092,Q
41.908,41908,1128,Q
43.028,43028,1120,Q
44.152,44152,1124,Q
45.268,45268,1116,Q
46.336,46336,1068,Q
47.436,47436,1100,Q
48.528,48528,1092,Q
49.616,49616,1088,Q
50.704,50704,1088,Q
51.796,51796,1092,Q
52.924,52924,1128,Q
54.012,54012,1088,Q
55.128,55128,1116,Q
56.192,56192,1064,Q
57.292,57292,1100,Q
58.384,58384,1092,Q
59.488,59488,1104,Q
60.6,60600,1112,Q
61.7,61700,1100,Q
62.788,62788,1088,Q
63.884,63884,1096,Q
64.976,64976,1092,Q
66.072,66072,1096,Q
67.164,67164,1092,Q
68.24,68240,1076,Q
69.364,69364,1124,Q
70.48,70480,1116,Q
71.572,71572,1092,Q
72.668,72668,1096,Q
73.76,73760,1092,Q
74.852,74852,1092,Q
75.96,75960,1108,Q
77.06,77060,1100,Q
78.136,78136,1076,Q
79.208,79208,1072,Q
80.272,80272,1064,Q
81.356,81356,1084,Q
82.392,82392,1036,Q
83.432,83432,1040,Q
84.496,84496,1064,Q
85.544,85544,1048,Q
86.628,86628,1084,Q
87.688,87688,1060,Q
88.768,88768,1080,Q
89.82,89820,1052,Q
90.908,90908,1088,Q
92.004,92004,1096,Q
93.124,93124,1120,Q
94.236,94236,1112,Q
95.328,95328,1092,Q
96.44,96440,1112,Q
97.54,97540,1100,Q
98.624,98624,1084,Q
99.676,99676,1052,Q
100.728,100728,1052,Q
101.776,101776,1048,Q
102.836,102836,1060,Q
103.86,103860,1024,Q
104.952,104952,1092,Q
106.048,106048,1096,Q
107.172,107172,1124,Q
108.272,108272,1100,Q
109.4,109400,1128,Q
110.548,110548,1148,Q
111.684,111684,1136,Q
112.824,112824,1140,Q
113.96,113960,1136,Q
115.124,115124,1164,Q
116.28,116280,1156,Q
117.436,117436,1156,Q
118.548,118548,1112,Q
119.664,119664,1116,Q
120.808,120808,1144,Q
121.948,121948,1140,Q
123.076,123076,1128,Q
124.176,124176,1100,Q
125.276,125276,1100,Q
126.332,126332,1056,Q
127.42,127420,1088,Q
128.532,128532,1112,Q
129.636,129636,1104,Q
130.716,130716,1080,Q
131.816,131816,1100,Q
132.92,132920,1104,Q
134.028,134028,1108,Q
135.124,135124,1096,Q
136.204,136204,1080,Q
137.296,137296,1092,Q
138.388,138388,1092,Q
139.44,139440,1052,Q
140.512,140512,1072,Q
141.636,141636,1124,Q
142.728,142728,1092,Q
143.82,143820,1092,Q
144.872,144872,1052,Q
